Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Move Minutes count,Cycling duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Volleyball duration (ms),High intensity interval training duration (ms)
2015-02-13,,29.432502274844975,,,,,,,,24,60.0,60.0,60.0,,,12752902,,,,
2015-02-14,,471.93043246418637,,,,,1.8027756214141846,1.8027756214141846,1.8027756214141846,1238,,,,,,84859389,,,,
2015-02-15,,290.0670364790778,,,,,1.25,1.25,1.25,904,,,,,,39695735,,,,
2016-12-01,797.7079066493055,,,,,,,,,,,,,,,,,,,
2016-12-02,1634.5,,,,,,,,,,,,,,,,,,,
2016-12-03,1634.5,,,,,,,,,,,,,,,,,,,
2016-12-04,1634.5,,,,,,,,,,,,,,,,,,,
2016-12-05,1634.5,,,,,,,,,,,,,,,,,,,
2016-12-06,1634.5,,,,,,,,,,,,,,,,,,,
2016-12-07,1634.5,,,,,,,,,,,,,,,,,,,
2016-12-08,1634.4999988286388,,,,,,,,,71,70.0,70.0,70.0,,,39822434,,,,
2016-12-09,1634.4999795070714,,,,,,,,,214,,,,,,61555814,,,,
2016-12-10,1634.4999099192612,,,,,,,,,131,,,,,,79319421,,,,
2016-12-11,1634.4999740416774,,,,,,,,,164,,,,,,68194399,,,,
2016-12-12,1634.4999596741652,,,,,,,,,95,,,,,,60718665,,,,
2016-12-13,1644.076805014964,20.50493812561035,,,,,,,,69,,,,,,68963278,174216,,,
2016-12-14,1634.499955913052,,,,,,,,,340,,,,,,27984682,,,,
2016-12-15,2274.91915062724,75.65615272521973,,,,,,,,242,,,,,10618851,36808890,280040,,,
2016-12-16,1845.7802649163932,,,,,,,,,240,,,,,3589543,64891955,,,,
2016-12-17,1634.4999410461369,,,,,,,,,104,,,,,,72716957,,,,
2016-12-18,1641.1103141227186,,,,,,,,,190,,,,,,61748430,120252,,,
2016-12-19,1634.4999294591098,,,,,,,,,41,,,,,,71974728,,,,
2016-12-20,1634.4999217287104,,,,,,,,,122,,,,,,68763465,,,,
2016-12-21,1635.384926614131,,,,,,,,,144,,,,,,58580424,16099,,,
2016-12-22,1712.2307938445342,118.99152874946594,,,,,,,,907,,,,,430888,65829202,952661,,,
2016-12-23,1634.499896492403,,,,,,,,,41,,,,,,51027766,,,,
2016-12-24,1634.4998883582698,,,,,,,,,261,,,,,,77933548,,,,
2016-12-25,1634.4999428516344,,,,,,,,,127,,,,,,64181285,,,,
2016-12-26,2791.0936496044324,66.46428298950195,13.084136962890625,80.24079132080078,13.084136962890625,80.24079132080078,,,,883,,,,,306438,57367445,211607,,3600000,
2016-12-27,1836.015702287528,2224.729643166065,,,,,,,,3244,,,,,1003401,73388004,2591464,,,
2016-12-28,1634.499940479007,,,,,,,,,121,,,,,,67496148,,,,
2016-12-29,1656.5851234218062,82.85896301269531,,,,,,,,604,,,,,,66893028,401760,,,
2016-12-30,1634.499952464085,,,,,,,,,60,,,,,,80899506,,,,
2016-12-31,1634.4999624510601,,,,,,,,,139,,,,,,77661904,,,,
2017-01-01,1634.499930507463,,,,,,,,,32,,,,,,33085432,,,,
2017-01-02,1636.1837174289692,3.5353341102600098,,,,,,,,121,,,,,,68503721,30630,,,
2017-01-03,1634.4999241865805,,,,,,,,,9,,,,,,64026677,,,,
2017-01-04,1634.499942299263,,,,,,,,,125,,,,,,43229764,,,,
2017-01-05,1634.4999717338223,,,,,,,,,7,,,,,,59337208,,,,
2017-01-06,1634.4999820421556,,,,,,,,,88,,,,,,72227710,,,,
2017-01-07,1635.1515721493893,,,,,,,,,54,,,,,,64883991,11855,,,
2017-01-08,1727.3949648923915,1122.4462305307388,,,,,6.245387153792126,10.75,0.7400000095367432,1684,,,,,511568,50540961,1142131,,,
2017-01-09,1634.4999553447108,,,,,,,,,105,,,,,,69473448,,,,
2017-01-10,1634.4999124639414,,,,,,,,,98,,,,,,54838249,,,,
2017-01-11,1644.609770968661,47.373477935791016,,,,,,,,367,,,,,,68841132,183912,,,
